video_id,author,date,comments,likeCount,is_reply
2kJDTzFtUr4,@narut0o9929,2024-11-11T06:28:13Z,Now they achieved 3 manometer and racing against 2 manometer,0,FALSE
2kJDTzFtUr4,@namazlur78,2024-11-10T06:35:09Z,Remember in 1994-2000 the american was so far behind that they still use motorola old phones while in Asia already use poliphonic phones 😂 with larger color display,0,FALSE
2kJDTzFtUr4,@Fghjjjkiutrdxgjjhfftjxgjhjb,2024-11-07T02:35:25Z,Why USA companies made big STMC. STMC's technology will go to China. They are same people .USA did wrong with TSMC,0,FALSE
2kJDTzFtUr4,@dawidrosak2020,2024-11-01T16:00:43Z,best device from china,0,FALSE
2kJDTzFtUr4,@Lucifer2.0287,2024-10-29T19:57:26Z,Harry Ramadan ramsden number one,0,FALSE
2kJDTzFtUr4,@SoulRocketMan,2024-10-28T11:06:44Z,Nobody thought that China would come this far in their quest to catch up with the West in Chip industry.,0,FALSE
2kJDTzFtUr4,@111_Chromia,2024-10-28T08:28:07Z,"21:22
Look an American",0,FALSE
2kJDTzFtUr4,@danieldreher6780,2024-10-21T18:29:48Z,"Russia is aware that rather than pay for platinum &gold for chips invasion is planned by NATO & loss of Indonesia means only Taiwan produces chips needed for advanced Nato weapons so control of Japanese Sea is very important for Western nations only through payment not theivery & assanation will work with BRICs nations that know their need.Not only sanctions but devalued dollars will mot be accepted by BRICs they require payment by gold . diamondd & real estate ( last only after restoration of teade) & returning confisgated property of China ,Russia & Iran even Israel has had property confisgated & may rethink their role Honest trade will be required for NATO to reduce their international debt & their economies cant even pay the interest on their loans.",0,FALSE
2kJDTzFtUr4,@douro20,2024-10-20T19:24:55Z,"Nikon almost had a marketable EUV machine.  But it was too slow, and Nikon was running out of money to further develop it.  It's remarkable that Nikon got as far as they did, though.",0,FALSE
2kJDTzFtUr4,@pacovu8075,2024-10-19T03:15:04Z,They work hard to achieve. But the Chinese are trying to spy and steal and copy.,0,FALSE
2kJDTzFtUr4,@АлтынбекАширхан-л8р,2024-10-17T13:24:11Z,🎉,0,FALSE
2kJDTzFtUr4,@colins7771,2024-10-14T13:28:12Z,"Lol, with nvidia being such a rich and valuable company you figured they could fix the crapy vinyl decal on their sign peeling at 6:37 in the video haha",0,FALSE
2kJDTzFtUr4,@Executor009,2024-10-14T04:38:28Z,300 mil is nothing compared to the processing power output of the thousands of chips the machine prints.,0,FALSE
2kJDTzFtUr4,@Rapture_Ready_Rabbit,2024-10-13T14:31:30Z,"((((((( WATCHMEN SOUND THE ALARM !! GOD is about to pour out JUDGEMENT on an unbelieving world! Christians born again of the Spirit are about to VANISH! Accept the Gospel NOW! The Good News of JESUS CHRIST! The Bible says, For God loved the world, so He gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life (John 3:16) JESUS is the ONLY way! Admit you're a sinner! You can't get to heaven by works or just being a good person!  REPENT and call upon Jesus for forgiveness! BELIEVE in your heart that Jesus is the Son of God, that he came in the flesh, lived a sinless life and then died on a CROSS for you! TRUST that God raised Jesus from the grave on the 3rd day! By Faith accept the shed BLOOD of Jesus alone as payment for all your sins! Jesus promised to come back! In fact He's at the door right NOW!",0,FALSE
2kJDTzFtUr4,@REDbacon_69,2024-10-12T10:48:10Z,WHO'S HERE FOR DELTA,1,FALSE
2kJDTzFtUr4,@voranartsirisubsoontorn,2024-10-09T06:07:03Z,Keep on leading and let’s others follow at distance 😊😊,0,FALSE
2kJDTzFtUr4,@reggielou2653,2024-10-07T04:30:06Z,"Taiwan and China share common history, culture, language, religion, and tradition.. how does one tell Taiwanese apart from Chinese? Wouldn't info., be used by Chinese spies? At least Koreans use different language, Hahngle 한글 (phoenically written new language invented by a king in the 15th C.)",0,FALSE
2kJDTzFtUr4,@fredlacroix6865,2024-10-07T02:55:26Z,china is getting desperate at every turn,0,FALSE
2kJDTzFtUr4,@SoulRocketMan,2024-10-28T11:10:42Z,"Desperate? I dont think so even if true it is a good one for them, due to sanctions they are forced to develop their own chip. They are slowly catching up with the West in chip technology.",0,TRUE
2kJDTzFtUr4,@vintagebentley7,2024-10-06T21:05:40Z,The human race is so advanced that we are one machine and one country away from the Stone Age.,0,FALSE
2kJDTzFtUr4,@АлександрРусаков-в4с,2024-10-06T16:00:56Z,Garcia Patricia Martin Cynthia Harris Melissa,0,FALSE
